id label friends followers statuses
96.0 wilmagonzalez 1093.0 272388.0 7206.0
30.0 USanSebastian 4072.0 11221.0 10811.0
269.0 FranshuCkc 32.0 20.0 67.0
223.0 paulivargs 610.0 359.0 1349.0
193.0 Camiconstanzoh 196.0 84.0 1121.0
247.0 america__travel 2.0 68.0 229.0
318.0 adidasCL 1654.0 181157.0 10280.0
320.0 sismoguc 0.0 486372.0 25847.0
58.0 xgloriavw 82.0 214.0 5630.0
159.0 knockoutconce 224.0 427.0 1370.0
94.0 romizalazar 64.0 175251.0 24137.0
280.0 PauliiFer 6.0 10.0 4.0
294.0 LineadSentencia 27.0 45.0 82.0
198.0 ReebokChile 1970.0 125368.0 9875.0
92.0 mega_prog 22.0 65027.0 21528.0
316.0 onemichile 0.0 1129327.0 32346.0
72.0 adidas_miCoach 269.0 33839.0 6338.0
71.0 chilevision 1945.0 1082465.0 108195.0
105.0 WhatsApp 1.0 2476605.0 1561.0
214.0 valejerez 375.0 145.0 2518.0
142.0 CoonyAlveal 21.0 8.0 2.0
62.0 nochedelfutbol 3186.0 3064.0 0.0
325.0 consuvarelap 3.0 9.0 1.0
125.0 fanMessiOficial 739.0 223.0 5.0
87.0 JLo 1699.0 3.5918547E7 9223.0
57.0 TonkaTP 852.0 1378870.0 28910.0
188.0 SosaSabri 246.0 167902.0 13286.0
149.0 maitefgp 81.0 87.0 1353.0
126.0 40ChileOficial 1024.0 216919.0 119065.0
288.0 ElvisRios 7.0 15.0 25.0
303.0 BastiiFuentess 111.0 25.0 0.0
151.0 SoccerManager 282.0 25030.0 21967.0
145.0 Dominque_yanez 52.0 12.0 4.0
25.0 Alisonmandel 1158.0 316897.0 43972.0
66.0 lollapalooza 983.0 412277.0 6322.0
240.0 sebaguilerab 0.0 1.0 1.0
226.0 PabloVenegasO 170.0 32.0 119.0
147.0 jpcrettino 602.0 395528.0 29469.0
60.0 CBLibertadores 166.0 56353.0 5982.0
34.0 fdo_godoy 953.0 609075.0 8304.0
115.0 Javitontiss 2.0 4.0 1.0
222.0 Floillesca 343.0 107.0 269.0
174.0 cmoyac 411.0 84.0 399.0
16.0 AppleMusic 877.0 8478555.0 25069.0
268.0 eelisepulveda 34.0 22.0 14.0
246.0 lalocura83 928.0 419.0 482.0
245.0 Paltaaax 111.0 26.0 25.0
165.0 nikesoccer 94.0 1760458.0 22417.0
185.0 natitogutierrez 63.0 55.0 18.0
173.0 NicolVanesa23 2008.0 1560.0 6290.0
29.0 Negra_Diaz 11.0 13.0 2.0
129.0 dieego321 0.0 2.0 0.0
36.0 pacmansound 74.0 25.0 243.0
196.0 NicoleBravo_20 148.0 23.0 12.0
234.0 gabitoledolagos 0.0 2.0 0.0
134.0 ElibarreraR 11.0 8.0 0.0
273.0 VickyyBrito 89.0 61.0 1705.0
98.0 cifuentescote 41.0 10.0 15.0
112.0 pazbascu 186.0 298099.0 2574.0
13.0 shakira 181.0 3.8402137E7 4044.0
322.0 Frontel_ 1572.0 8761.0 3418.0
203.0 CamilooAraya 42.0 8.0 2.0
205.0 Eduardo12Palma 635.0 203.0 2366.0
54.0 FCBarcelona_es 58.0 9875560.0 78155.0
199.0 LexusInt 2540.0 476599.0 938.0
180.0 SauSavka 35.0 13.0 11.0
276.0 Diaxy_R 10.0 6.0 0.0
83.0 Giia_marengo 585.0 253132.0 14880.0
258.0 cainf 141.0 234.0 521.0
24.0 NissRosenthal 3777.0 317283.0 50270.0
169.0 UEFAcom 271.0 3048315.0 34360.0
244.0 FaithNoMora 113.0 129.0 1247.0
238.0 maquitapaz2 55.0 23.0 2.0
306.0 dienr1quez 198.0 56.0 279.0
89.0 domigallego 563.0 714260.0 10362.0
302.0 BMW 80.0 1220490.0 13126.0
108.0 Lucilavit 387.0 317864.0 25848.0
235.0 camijquezada 251.0 294.0 52812.0
253.0 javi_enm 432.0 368.0 5571.0
136.0 jpvergara81 280.0 69.0 457.0
249.0 andrejorquera_s 21.0 8.0 1.0
321.0 Tkilman99 105.0 80.0 1014.0
243.0 paulagallard 178.0 104.0 1079.0
50.0 SamsungMobile 433.0 1.181497E7 4023.0
200.0 pily_dr 502.0 137602.0 8457.0
206.0 KonyMQuiroz 424.0 84.0 44.0
18.0 RinconSalfate 72.0 1290999.0 16049.0
179.0 gutierrezsnv 113.0 34.0 42.0
216.0 GabrielOrmenoc 202.0 34.0 272.0
35.0 MaiteOrsini 615.0 220221.0 15323.0
154.0 FFQuakeProject 27.0 249038.0 137880.0
90.0 GobiernodeChile 280.0 937269.0 25829.0
260.0 javiebsm 203.0 72.0 70.0
38.0 coldplay 1497.0 1.7042864E7 5655.0
148.0 EAlbasetti 3231.0 161519.0 24045.0
255.0 ffabie_lamana 78.0 35.0 3993.0
44.0 NASA_FB 15.0 46945.0 11812.0
311.0 redbullCL 2274.0 37099.0 7882.0
254.0 RafaSepulveda_ 770.0 567.0 7847.0
31.0 StefanKramerS 256.0 1436454.0 1208.0
10.0 CBF_Futebol 114.0 3580040.0 111910.0
70.0 AracelyVDS 600.0 69.0 348.0
110.0 Lizziechvz 92.0 179.0 578.0
68.0 USGS 93.0 533214.0 11990.0
144.0 maurarivera27 205.0 188213.0 5111.0
233.0 JoaQoMorales1 209.0 9.0 3.0
100.0 tiesto 524.0 4220752.0 28467.0
297.0 CotteDelishiums 12.0 16.0 6.0
251.0 florlobomatta 37.0 27.0 52.0
209.0 MercedesBenz 675.0 1594034.0 25782.0
95.0 Mey_SantaMaria 1041.0 180099.0 13635.0
138.0 JaviviMartinS 68.0 20.0 29.0
104.0 JosefinaBruna 1985.0 1171.0 10992.0
116.0 ClauSmilees 85.0 59.0 188.0
197.0 Isidorafuentess 381.0 79.0 343.0
